gtin;description;price;url;picture
7893299910739;"Smart Tv Oled 65"" Ultra Hd 4k Lg Oled65b8ssc Com Inteligencia Artificial Thinq Ai, Wi-fi E Controle Smart Magic";13.800,54;https://www.americanas.com.br/produto/133892436?pfm_carac=TV&pfm_index=1&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
7896067213438;"Televisor Panasonic Tc-65gx500b - 65"" 4k Ultra Hd Led Smart Tv";3.773,76;https://www.americanas.com.br/produto/1938513405?pfm_carac=TV&pfm_index=2&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
PRODUTO Smart TV LG 50'' 50UN7310 Ultra HD 4K WiFi Bluetooth HDR Inteligência Artificial ThinQ AI Smart Magic Google Assistente Alexa;Smart TV LG 50'' 50UN7310 Ultra HD 4K WiFi Bluetooth HDR IA ThinQ AI Smart Magic Google Assistente Alexa + Lg Sound Bar Sk1d- 100w Rms, Bluetooth, Sound Sync Wireless, Usb, Dolby Digital, Dts Digital Surround, 2 Canais;2.999,99;https://www.americanas.com.br/produto/2105425363?pfm_carac=TV&pfm_index=4&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
PRODUTO Smart TV LG 50'' 50UN7310 Ultra HD 4K WiFi Bluetooth HDR Inteligência Artificial ThinQ AI Smart Magic Google Assistente Alexa;"Smart Tv Lg 55"" 55un7310 4k Uhd Wifi Bluetooth Hdr Inteligência Artificial Thinq Ai Google Assistente + Smart TV LG 50'' 50UN7310 Ultra HD 4K WiFi Bluetooth HDR Inteligência Artificial ThinQ AI Smart Magic";4.999,99;https://www.americanas.com.br/produto/2099111201?pfm_carac=TV&pfm_index=8&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
7899466427796;Smart TV 55'' Philco PTV55F61SNC Ultra HD 4k Led Conversor Digital 3 HDMI 2 USB Wi-Fi Processador Core Duo;2.499,99;https://www.americanas.com.br/produto/134059147?pfm_carac=TV&pfm_index=11&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
7899466423989;"Smart TV LED Android 65"" Philco PH65G60DSGWAG Ultra HD 4K com Conversor Digital 3 HDMI 2 USB com Google 60hz - Preta";5.478,18;https://www.americanas.com.br/produto/132846825?pfm_carac=TV&pfm_index=13&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
"PRODUTO Samsung Smart TV 50"" Crystal UHD 50TU8000 4K, Wi-fi, Borda Infinita, Alexa built in, Controle Único, Visual Livre de Cabos, Modo Ambiente Foto e Processador Crystal 4K";"Smart TV 75'' Crystal UHD 75TU8000 4K, Wi-fi, Borda Infinita, Alexa built in, Controle Único e Visual Livre de Cabos + Samsung Smart TV 50"" Crystal UHD 50TU8000 4K, Wi-fi, Borda infinita, Alexa built in, Controle remoto único";9.999,99;https://www.americanas.com.br/produto/1848245814?pfm_carac=TV&pfm_index=15&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
"PRODUTO Samsung Smart TV 70"" Crystal UHD 70TU7000 4K 2020, Wi-fi, Borda Infinita, Controle Remoto Único, Visual Livre de Cabos, Bluetooth, Processador Crystal 4K";Samsung Smart TV 70'' Crystal UHD 70TU7000 4K 2020, Wi-fi + Samsung Smart TV LED 32'' Tizen HD 32T4300 2020 - WIFI, HDR, 2 HDMI, 1 USB - Preta;7.599,99;https://www.americanas.com.br/produto/2897079023?pfm_carac=TV&pfm_index=18&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
