gtin;description;price;url;picture
7893299913952;"Lg Smart Tv Pro 4k Thinq Ai 50"" 50um751c";2.519,99;https://www.americanas.com.br/produto/1651629638?pfm_carac=TV&pfm_index=1&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
7893299913495;Smart TV LG 75'' 75NANO90 Ultra HD 4K NanoCell IPS WiFi Bluetooth HDR Inteligencia Artificial ThinQAI Google Assistente Alexa IOT;14.155,58;https://www.americanas.com.br/produto/1733188549?pfm_carac=TV&pfm_index=6&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
"PRODUTO Samsung Smart TV 65"" Crystal UHD 65TU8000 4K, Wi-fi, Borda Infinita, Alexa built in, Controle Único, Visual Livre de Cabos, Modo Ambiente Foto e Processador Crystal 4K";;5.999,99;https://www.americanas.com.br/produto/2889149511?pfm_carac=TV&pfm_index=7&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
7892509114523;"Samsung Smart TV 82"" QLED 8K 82Q800T, Processador com IA, Borda Infinita, Alexa built in, Som em Movimento, Modo Ambiente 3.0";45.623,28;https://www.americanas.com.br/produto/1632304715?pfm_carac=TV&pfm_index=11&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
7892509113649;"Samsung Smart TV 65"" QLED 8K 65Q800T, Processador com IA, Borda Infinita, Alexa built in, Som em Movimento, Modo Ambiente 3.0";14.600,54;https://www.americanas.com.br/produto/1632303237?pfm_carac=TV&pfm_index=13&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
PRODUTO Smart TV LG 50'' 50UN7310 Ultra HD 4K WiFi Bluetooth HDR Inteligência Artificial ThinQ AI Smart Magic Google Assistente Alexa;;19.999,99;https://www.americanas.com.br/produto/2105394149?pfm_carac=TV&pfm_index=17&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
7892509113779;"Samsung Smart TV 65"" QLED 4K 65Q80T, Pontos Quânticos, Modo Game, Som em Movimento, Alexa built in, Borda Infinita, Modo Ambiente 3.0, Controle Único";9.788,91;https://www.americanas.com.br/produto/1620820595?pfm_carac=TV&pfm_index=18&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
7896067213377;"Televisor Panasonic Tc-50hx550b - 50"" 4k Ultra Hd Led Smart Tv Com Android";2.289,09;https://www.americanas.com.br/produto/2219769105?pfm_carac=TV&pfm_index=21&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
7893299913419;"Smart Tv Lg 65"" 4k Oled Hdr Wifi Bluetooth Inteligência Artificial Thinq Ai Hands Free Google Assistente Alexa";12.999,99;https://www.americanas.com.br/produto/2085063288?pfm_carac=TV&pfm_index=23&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
