gtin;description;price;url;picture
7899968301006;Android Tv Led 50” Tcl P715 4k Uhd Hdr Com Wifi E Bluetooth Integrados, Comando De Voz À Distância, Google Assistant;2.853,99;https://www.americanas.com.br/produto/2120880786?pfm_carac=TV&pfm_index=1&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
"PRODUTO 75un8000psb - Smart Tv Lg 75"" 4k Uhd Wifi Bluetooth Hdr Inteligência Artificial Thinq Ai Google";Smart TV LG 75'' 75UN8000 Ultra HD 4K WiFi Bluetooth HDR Inteligência Artificial ThinQ AI Smart Magic Google Assistente Alexa + Smart TV LG 50'' 50UN7310 Ultra HD 4K WiFi Bluetooth HDR Inteligência Artificial ThinQ AI Smart Magic;8.499,99;https://www.americanas.com.br/produto/2878778072?pfm_carac=TV&pfm_index=4&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
PRODUTO TV LED 39'' Philco PTV39G50D Resolução HD e Recepção Digital;TV LED 39'' Philco PTV39G50D Resolução HD e Recepção Digital - Preto + Roku Express - Streaming Player Full HD com Controle Remoto e Cabo HDMI;1.499,99;https://www.americanas.com.br/produto/2509709696?pfm_carac=TV&pfm_index=6&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
7892509106498;"Smart TV QLED 8k 65"" Samsung QN65Q900RBGXZD Direct Full Array 16x com conversor Digital 4 HDMI 3 USB Wi-Fi Hdr 3000 - Preta";15.778,13;https://www.americanas.com.br/produto/134241934?pfm_carac=TV&pfm_index=7&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
"PRODUTO Smart Tv Philco 50"" Resolução 4k Áudio Dolby - Tv Ptv50g70sblsg 4k Led";"Smart TV Philco 50"" PTV50G70SBLSG Ultra HD 4K Tela Infinita Quadcore e App Store + Soundbar Philco PSB04T Potência 420W RMS, Subwoofer Wireless e Retorno Arc";3.249,99;https://www.americanas.com.br/produto/1877569105?pfm_carac=TV&pfm_index=12&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
7898620271213;"Smart Tv Philips 50"" 4k Uhd, P5, Hdr10+ , Dolby Vision,  dolby Atmos, Bluetooth, Wifi - Preto Bordas Ultrafinas";3.182,49;https://www.americanas.com.br/produto/2742387144?pfm_carac=TV&pfm_index=13&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
"PRODUTO Smart TV LG OLED 65"" OLED65CX Ultra HD 4K WiFi Bluetooth HDR Inteligência Artificial ThinQAI Smart Magic Google Assistente Alexa";Smart TV LG OLED 65'' OLED65CX Ultra HD 4K WiFi Bluetooth HDR IA ThinQAI Smart Magic Google Assistente Alexa + Smart TV LG 50'' 50UN7310 Ultra HD 4K WiFi Bluetooth HDR Inteligência Artificial ThinQ AI Smart Magic Google Assistente Alexa;12.999,99;https://www.americanas.com.br/produto/2105410946?pfm_carac=TV&pfm_index=15&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
8801643848934;"Smart TV QLED 8k 82"" Samsung QN82Q900RBGXZD Direct Full Array 16x com conversor Digital 4 HDMI 3 USB Wi-Fi Hdr 4000 - Preta";47.924,64;https://www.americanas.com.br/produto/134244529?pfm_carac=TV&pfm_index=18&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
"PRODUTO Smart Tv LG 55"" 55un7310 4k Uhd Wifi Bluetooth Hdr Inteligência Artificial Thinq Ai Google Assistente";"Smart Tv Lg 65"" 8k Ips Nanocell Wifi Bluetooth Hdr IA Thinqai Google Assistente Alexa Iot + Smart Tv Lg 55"" 55un7310 4k Uhd Wifi Bluetooth Hdr Inteligência Artificial Thinq Ai Google Assistente";15.999,99;https://www.americanas.com.br/produto/2105371959?pfm_carac=TV&pfm_index=20&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
PRODUTO Smart TV LG 50'' 50UN7310 Ultra HD 4K WiFi Bluetooth HDR Inteligência Artificial ThinQ AI Smart Magic Google Assistente Alexa;Smart TV LG 82'' 82UN8000 Ultra HD 4K WiFi Bluetooth HDR Inteligência Artificial ThinQ AI Smart Magic + Smart TV LG 50'' 50UN7310 Ultra HD 4K WiFi Bluetooth HDR Inteligência Artificial ThinQ AI Smart Magic;14.599,99;https://www.americanas.com.br/produto/2891659043?pfm_carac=TV&pfm_index=21&pfm_page=category&pfm_pos=grid&pfm_type=vit_product_grid;https://images-americanas.b2w.io/spacey/acom/2021/01/29/HEADER_home_fg.png
